R^2 score (test): 0.707
R^2 score (train): 0.714
Intercept: 311775.7497171513
Coefficients:
bed: -13288.421092955548
bath: 15849.54929044852
sqft: 182.80085706353566
citi_29 Palms, CA: -290371.33291494334
citi_Acton, CA: -133133.59997122153
citi_Adelanto, CA: -367576.9311264741
citi_Agoura Hills, CA: 185068.96838682785
citi_Agua Dulce, CA: -14127.983892487566
citi_Aguanga, CA: -260265.16721077776
citi_Alhambra, CA: 198108.1966811822
citi_Aliso Viejo, CA: 192879.04248335471
citi_Alpine, CA: -81542.5315507947
citi_Alta Loma, CA: -38332.87467096967
citi_Altadena, CA: 257169.34502564254
citi_Anaheim Hills, CA: 152815.77334232087
citi_Anaheim, CA: 29359.566542265547
citi_Angelus Oaks, CA: -223940.92822546698
citi_Anza, CA: -317799.9243765278
citi_Apple Valley, CA: -348052.67063382675
citi_Arcadia, CA: 398031.3225420102
citi_Arleta, CA: -61112.26635622213
citi_Arroyo Grande, CA: 154280.53333664362
citi_Artesia, CA: 39582.13963932813
citi_Arvin, CA: -330487.6568309349
citi_Atascadero, CA: -35901.362102220824
citi_Avila Beach, CA: 140471.71605892116
citi_Azusa, CA: 3458.022777227685
citi_Bakersfield, CA: -351796.01814441197
citi_Baldwin Park, CA: -17442.011288678914
citi_Banning, CA: -256728.86109424214
citi_Barstow, CA: -403117.48461866926
citi_Bear Valley Springs, CA: -309756.0852643739
citi_Beaumont, CA: -317440.7420061325
citi_Bell, CA: -90617.26032989575
citi_Bellflower, CA: 27129.672164469455
citi_Belltown, CA: -207199.62178737976
citi_Bermuda Dunes, CA: -229819.0539612342
citi_Beverly Hills, CA: 613740.9654116592
citi_Big Bear City, CA: -186149.5227097333
citi_Big Bear Lake, CA: -256839.95146884077
citi_Big Bear, CA: -78827.49417253552
citi_Big River, CA: -222648.9703086376
citi_Bloomington, CA: -143667.85077782333
citi_Blue Jay, CA: -5863.699834279994
citi_Blythe, CA: -378684.9249194943
citi_Bonita, CA: 62481.20938164074
citi_Bonsall, CA: -34117.59004469132
citi_Boron, CA: -333651.12773350894
citi_Borrego Springs, CA: -329613.5515151117
citi_Boulevard, CA: -150914.41745322538
citi_Brawley, CA: -171361.912094034
citi_Brea, CA: 47832.55165176365
citi_Buellton, CA: 114693.87157942433
citi_Buena Park, CA: 51293.12946808748
citi_Burbank, CA: 249776.2973194565
citi_Cabazon, CA: -296973.5672434473
citi_Calabasas, CA: 166396.92444146666
citi_Calexico, CA: -392005.3912915362
citi_Caliente, CA: -137585.98252671675
citi_California City, CA: -407389.2088747947
citi_Calimesa, CA: -294545.1712319887
citi_Camarillo, CA: 45201.831303720144
citi_Cambria, CA: 155104.23433351386
citi_Campo, CA: -214716.38048052372
citi_Canoga Park, CA: 80939.4541721461
citi_Canyon Country, CA: -83903.33846954862
citi_Canyon Lake, CA: -162108.33714303005
citi_Cardiff by the Sea, CA: 596669.4963461373
citi_Cardiff, CA: 609957.1686436486
citi_Carlsbad, CA: 168030.99857285622
citi_Carpinteria, CA: 116958.81675673227
citi_Carson, CA: 3569.649249582705
citi_Castaic, CA: -68779.81367997777
citi_Cathedral City, CA: -197849.71868077852
citi_Cayucos, CA: 304542.16315060254
citi_Cedar Glen, CA: -248870.85460504703
citi_Cedarpines Park, CA: -328294.0720244589
citi_Cerritos, CA: 136484.0113652626
citi_Chatsworth, CA: 28372.837446502046
citi_Cherry Valley, CA: -242303.9939019333
citi_Chino Hills, CA: 47893.42411606732
citi_Chino, CA: -120353.15706676689
citi_Chula Vista, CA: -63833.345084464316
citi_Claremont, CA: 57845.1271191818
citi_Coachella, CA: -306142.4382230147
citi_Colton, CA: -223302.39075195964
citi_Commerce, CA: -49468.402383163484
citi_Compton, CA: -78183.37395674983
citi_Corona, CA: -185783.45050340268
citi_Coronado, CA: 679398.9102894554
citi_Costa Mesa, CA: 225457.07005084338
citi_Coto de Caza, CA: 151071.98726100553
citi_Covina, CA: 23011.40402963096
citi_Crestline, CA: -266427.57654769707
citi_Creston, CA: 126380.80296134543
citi_Culver City, CA: 450618.9797624914
citi_Cypress, CA: 113534.12088002251
citi_Dana Point, CA: 282707.8307372266
citi_Del Mar, CA: 496301.57746338507
citi_Delano, CA: -337600.4047634845
citi_Descanso, CA: -100369.51085637542
citi_Desert Hot Springs, CA: -308554.6122029104
citi_Diamond Bar, CA: 74990.83333435841
citi_Downey, CA: 33937.9279250079
citi_Duarte, CA: 84443.7116384405
citi_Dulzura, CA: 2.5165718398056924e-09
citi_Eagle Rock, CA: 300674.19264668494
citi_East Los Angeles, CA: -6663.179158859928
citi_Echo Park, CA: 501129.14539489296
citi_El Cajon, CA: -60463.40194499734
citi_El Mirage, CA: 284843.79236126016
citi_El Monte, CA: 42587.910385519666
citi_El Segundo, CA: 905731.0372621022
citi_Encinitas, CA: 314842.43306753045
citi_Encino, CA: 266889.72193533607
citi_Escondido, CA: -76079.57648760563
citi_Fallbrook, CA: -68577.6289832281
citi_Fawnskin, CA: -9278.241161371097
citi_Fillmore, CA: -106049.72765608254
citi_Fontana, CA: -202329.4401836428
citi_Forest Falls, CA: -298899.2764374187
citi_Fountain Valley, CA: 308865.3931377794
citi_Frazier Park, CA: -322933.47873097134
citi_Fullerton, CA: 90192.18847899594
citi_Garden Grove, CA: 131934.6655567393
citi_Gardena, CA: 69702.22599214465
citi_Glendale, CA: 396824.7465848113
citi_Glendora, CA: 77620.77438870253
citi_Goleta, CA: 339776.9531494645
citi_Gorman, CA: -116820.18833074644
citi_Granada Hills, CA: 54707.36412404202
citi_Grand Terrace, CA: -194106.30331888158
citi_Green Valley Lake, CA: -255554.53171248993
citi_Green Valley, CA: -191129.9265297604
citi_Grover Beach, CA: 30562.03974467906
citi_Guadalupe, CA: -389177.0580859433
citi_Hacienda Heights, CA: 65808.88347898159
citi_Harbor City, CA: 113647.11509373214
citi_Hawaiian Gardens, CA: -91503.89190592559
citi_Hawthorne, CA: 194182.62562655853
citi_Helendale, CA: -333953.63729587634
citi_Hemet, CA: -286770.02252709126
citi_Hesperia, CA: -323290.6010680454
citi_Highland Park, CA: 235860.88096140587
